Britney Spears,2.12.1981 (BC: False),'alive'
Baruch Spinoza,24.11.1632 (BC: False),21.2.1677 (BC: False)
Bjarne Stroustrup,30.12.1950 (BC: False),'alive'
Björn Ulvaeus,25.4.1945 (BC: False),'alive'
Benny Andersson,16.12.1946 (BC: False),'alive'
Bill Gates,28.10.1955 (BC: False),'alive'
Bal Thackeray,23.1.1926 (BC: False),17.11.2012 (BC: False)
Bille August,9.11.1948 (BC: False),'alive'
Bruce Sterling,14.4.1954 (BC: False),'alive'
Brigitte Bardot,28.9.1934 (BC: False),'alive'
Bernard Montgomery,17.11.1887 (BC: False),24.3.1976 (BC: False)
Herman Boerhaave,31.12.1668 (BC: False),23.9.1738 (BC: False)
Benjamin Disraeli,21.12.1804 (BC: False),19.4.1881 (BC: False)
Bill Joy,8.11.1954 (BC: False),'alive'
Bernie Federko,12.5.1956 (BC: False),'alive'
Bram Stoker,8.11.1847 (BC: False),20.4.1912 (BC: False)
Benoit Mandelbrot,20.11.1924 (BC: False),14.10.2010 (BC: False)
Bing Crosby,3.5.1903 (BC: False),14.10.1977 (BC: False)
Buckminster Fuller,12.7.1895 (BC: False),1.7.1983 (BC: False)
Bill Watterson,5.7.1958 (BC: False),'alive'
Brian Kernighan,1.1.1942 (BC: False),'alive'
Bob Hawke,9.12.1929 (BC: False),16.5.2019 (BC: False)
Blaise Pascal,19.6.1623 (BC: False),19.8.1662 (BC: False)
Bartolomeo Ammannati,18.6.1511 (BC: False),13.4.1592 (BC: False)
Bertrand Andrieu,24.11.1761 (BC: False),6.12.1822 (BC: False)
Blythe Danner,3.2.1943 (BC: False),'alive'
Bill Atkinson,17.3.1951 (BC: False),'alive'
Bertrand Russell,18.5.1872 (BC: False),2.2.1970 (BC: False)
Bill Walsh (American football coach),30.11.1931 (BC: False),30.7.2007 (BC: False)
Babe Ruth,6.2.1895 (BC: False),16.8.1948 (BC: False)
Berry Berenson,14.4.1948 (BC: False),11.9.2001 (BC: False)
Brion Gysin,19.1.1916 (BC: False),13.7.1986 (BC: False)
Barbara Olson,27.12.1955 (BC: False),11.9.2001 (BC: False)
Bernardino Ochino,None.None.1487 (BC: False),None.None.1564 (BC: False)
Brian De Palma,11.9.1940 (BC: False),'alive'
Bobby Charlton,11.10.1937 (BC: False),'alive'
Berthe Morisot,14.1.1841 (BC: False),2.3.1895 (BC: False)
Bayezid I,10.5.1354 (BC: False),8.3.1403 (BC: False)
Bayezid II,3.12.1447 (BC: False),26.5.1512 (BC: False)
Brian Lara,2.5.1969 (BC: False),'alive'
Barry Bonds,24.7.1964 (BC: False),'alive'
Buddy Holly,7.9.1936 (BC: False),3.2.1959 (BC: False)
Babrak Karmal,6.1.1929 (BC: False),3.12.1996 (BC: False)
Billy Bob Thornton,4.8.1955 (BC: False),'alive'
Beatrix Potter,28.7.1866 (BC: False),22.12.1943 (BC: False)
Bill Haley,6.7.1925 (BC: False),9.2.1981 (BC: False)
Burt Lancaster,2.11.1913 (BC: False),20.10.1994 (BC: False)
Blind Willie McTell,5.5.1898 (BC: False),19.8.1959 (BC: False)
Babur,14.2.1483 (BC: False),26.12.1530 (BC: False)
Bernard of Clairvaux,None.None.1090 (BC: False),20.8.1153 (BC: False)
Brian Aldiss,18.8.1925 (BC: False),19.8.2017 (BC: False)
Blind Lemon Jefferson,24.9.1893 (BC: False),19.12.1929 (BC: False)
Bud Selig,30.7.1934 (BC: False),'alive'
Björn Borg,6.6.1956 (BC: False),'alive'
Burhanuddin Rabbani,20.9.1940 (BC: False),20.9.2011 (BC: False)
Bill Oddie,7.7.1941 (BC: False),'alive'
Brian Boitano,22.10.1963 (BC: False),'alive'
Billy Crystal,14.3.1948 (BC: False),'alive'
